GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator,ie.gmit,Calculator.AddNumbers,39,0,0,0,10,0,2,0,2,0
calculator,ie.gmit,Calculator,0,7,0,0,0,2,0,2,0,2
